"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2015-01-01","03:57:18",514,NA,NA,NA,"tourr","0.5.4","CN",607
"2015-01-01","03:57:00",26659,"3.1.2","x86_64","mingw32","highr","0.4","NZ",644
"2015-01-01","03:57:05",716572,"3.1.2","x86_64","darwin13.4.0","knitr","1.8","NZ",644
"2015-01-01","03:57:51",384166,"3.1.2","i386","mingw32","colorspace","1.2-4","US",609
"2015-01-01","03:56:19",14621,NA,NA,NA,"qtl","1.27-10","FR",8
"2015-01-01","03:57:25",39112,"3.1.2","i386","mingw32","neuralnet","1.32","CA",651
"2015-01-01","03:57:32",229478,NA,NA,NA,"tourr","0.5.4","CN",607
"2015-01-01","03:57:35",512,NA,NA,NA,"toxtestD","2.0","CN",607
"2015-01-01","03:57:36",516,NA,NA,NA,"tpe","1.0.1","CN",607
"2015-01-01","03:57:36",514,NA,NA,NA,"tpr","0.3-1","CN",607
"2015-01-01","03:57:37",514,NA,NA,NA,"trackObjs","1.0-18","CN",607
"2015-01-01","03:57:37",514,NA,NA,NA,"track","1.0-15","CN",607
"2015-01-01","03:57:38",514,NA,NA,NA,"tractor.base","2.5.0","CN",607
"2015-01-01","03:57:38",514,NA,NA,NA,"traitr","0.14","CN",607
"2015-01-01","03:57:01",148526,"3.1.1","x86_64","mingw32","markdown","0.7.4","NZ",644
"2015-01-01","03:00:10",14621,NA,NA,NA,"RArcInfo","0.2-1","FR",58
"2015-01-01","03:00:16",3333888,"3.1.1","x86_64","mingw32","surveillance","1.8-2","US",472
"2015-01-01","03:00:30",12048,"3.1.1","x86_64","mingw32","RColorBrewer","1.1-2","GR",452
"2015-01-01","03:00:19",47295,"3.1.1","x86_64","mingw32","svgViewR","1.0.0","US",472
"2015-01-01","03:00:20",14278,"3.1.1","x86_64","mingw32","uniftest","1.0","US",472
"2015-01-01","03:01:11",150230,"3.1.1","x86_64","mingw32","digest","0.6.7","US",479
"2015-01-01","03:01:12",388355,"3.1.1","x86_64","mingw32","httr","0.6.0","US",479
"2015-01-01","03:01:12",36164,"3.1.0","i386","mingw32","manipulate","1.0.1","US",479
"2015-01-01","03:01:12",27200,"3.1.0","i386","mingw32","RColorBrewer","1.1-2","US",479
"2015-01-01","03:01:19",3418272,NA,NA,NA,"spsurvey","2.6","CN",463
"2015-01-01","03:00:54",2790597,"3.1.0","i386","mingw32","ade4","1.6-2","JP",652
